GID,Pos,Name,Team,Opponent,Home/Away,Salary,Salary Change,Points,GP,Pts/Game,Pts/G/$,Pts/G(alt),Bye week,YTD Salary H/L
5560,RB,"Hunt, Kareem",kan,was,H,8500,500,103.8,3,34.6,4.07,28.3,10,H
2992,RB,"Gurley, Todd",lar,dal,A,7800,1000,89.1,3,29.7,3.81,40.9,8,H
1131,QB,"Brady, Tom",ne,car,H,8000,300,84.18,3,28.06,3.51,39.72,9,H
2915,RB,"Thompson, Chris",was,kan,A,5200,700,75,3,25,4.81,33.8,5,H
3474,WR,"Brown, Antonio",pit,bal,A,9300,300,73.4,3,24.47,2.63,30,9,H
5424,WR,"Diggs, Stefon",min,det,H,7100,600,73.1,3,24.37,3.43,40.3,9,H
1252,QB,"Rodgers, Aaron",gb,chi,H,7600,300,72.88,3,24.29,3.2,28.82,8,H
1514,QB,"Wentz, Carson",phi,lac,A,6600,700,65.94,3,21.98,3.33,13.24,10,H
1254,QB,"Smith, Alex",kan,was,H,6300,400,65.26,3,21.75,3.45,15.1,10,H
2930,RB,"Freeman, Devonta",atl,buf,H,7300,600,61.7,3,20.57,2.82,25.8,5,H
1151,QB,"Brees, Drew",no,mia,A,7200,0,61.68,3,20.56,2.86,20.8,5,
5392,RB,"Montgomery, Ty",gb,chi,H,7500,600,61.3,3,20.43,2.72,13,8,H
1412,QB,"Wilson, Russell",sea,ind,H,7300,1000,61.16,3,20.39,2.79,36.52,6,H
1340,QB,"Stafford, Matthew",det,min,A,6000,-200,58.72,3,19.57,3.26,16.46,7,L
5485,WR,"Hill, Tyreek",kan,was,H,6800,200,58.7,3,19.57,2.88,20,10,H
2933,RB,"Hyde, Carlos",sfo,ari,A,6600,1400,58.4,3,19.47,2.95,24.4,11,H
1501,QB,"Prescott, Dak",dal,lar,H,6200,400,57.96,3,19.32,3.12,22.92,6,H
1488,QB,"Siemian, Trevor",den,oak,H,5200,-300,57.86,3,19.29,3.71,9.56,5,L
1207,QB,"Palmer, Carson",ari,sfo,H,6100,100,56.54,3,18.85,3.09,24.7,8,H
5559,RB,"Cook, Dalvin",min,det,H,6500,600,56,3,18.67,2.87,27.9,9,H
5534,RB,"Fournette, Leonard",jac,nyj,A,6700,700,55.5,3,18.5,2.76,17,8,H
3501,WR,"Fitzgerald, Larry",ari,sfo,H,6100,-300,55.4,3,18.47,3.03,36.9,8,L
1415,QB,"Cousins, Kirk",was,kan,A,6500,400,55.26,3,18.42,2.83,29.8,5,H
1490,QB,"Goff, Jared",lar,dal,A,5600,400,55.08,3,18.36,3.28,23.58,8,H
4494,TE,"Gronkowski, Rob",ne,car,H,6600,-200,54.8,3,18.27,2.77,22.9,9,L
5091,WR,"Green, A.J.",cin,cle,A,8600,500,54.2,3,18.07,2.1,30.1,6,H
2991,RB,"Gordon, Melvin",lac,phi,H,7000,-600,53.6,3,17.87,2.55,13.9,9,L
5564,RB,"Cohen, Tarik",chi,gb,A,5500,-100,53.3,3,17.77,3.23,14.2,9,L
5255,WR,"Cooks, Brandin",ne,car,H,7600,300,53.2,3,17.73,2.33,35.1,9,H
1466,QB,"Mariota, Marcus",ten,hou,A,6400,400,52.54,3,17.51,2.74,19.7,8,H
1301,QB,"Ryan, Matt",atl,buf,H,7400,300,52.48,3,17.49,2.36,16.66,5,H
5447,RB,"Howard, Jordan",chi,gb,A,5800,900,51.7,3,17.23,2.97,35.4,9,H
5333,WR,"Thielen, Adam",min,det,H,5800,100,50.9,3,16.97,2.93,14.8,9,H
1442,QB,"Bortles, Blake",jac,nyj,A,5300,900,50.68,3,16.89,3.19,27.56,8,H
1517,QB,"Kizer, DeShone",cle,cin,H,5200,200,50.54,3,16.85,3.24,25.08,9,H
1518,QB,"Watson, Deshaun",hou,ten,H,5100,400,50.52,3,16.84,3.3,25.14,7,H
4569,TE,"Ertz, Zach",phi,lac,A,6300,1300,50.5,3,16.83,2.67,18.5,10,H
5136,WR,"Baldwin, Doug",sea,ind,H,6900,500,49.9,3,16.63,2.41,29.5,6,H
3995,WR,"Tate, Golden",det,min,A,6300,-600,49.7,3,16.57,2.63,18.8,7,L
2924,RB,"Anderson, C.J.",den,oak,H,5600,-200,49.5,3,16.5,2.95,6.3,5,L
2707,RB,"McCoy, LeSean",buf,atl,A,8400,1400,48.1,3,16.03,1.91,13.9,6,H
1400,QB,"Taylor, Tyrod",buf,atl,A,5300,400,48.08,3,16.03,3.02,17.82,6,H
3872,WR,"Crabtree, Michael",oak,den,A,6200,-1200,48,3,16,2.58,1.7,10,L
1225,QB,"Manning, Eli",nyg,tam,A,5700,400,47.9,3,15.97,2.8,27.64,8,H
5151,WR,"Hilton, T.Y.",ind,sea,A,5300,100,47.9,3,15.97,3.01,31.3,11,H
5198,WR,"Allen, Keenan",lac,phi,H,7200,0,47.6,3,15.87,2.2,11.1,9,
5206,WR,"Hopkins, DeAndre",hou,ten,H,6400,200,47.4,3,15.8,2.47,14.6,7,H
5252,WR,"Watkins, Sammy",lar,dal,A,5900,400,47.4,3,15.8,2.68,31.6,8,H
1232,QB,"Roethlisberger, Ben",pit,bal,A,6000,-200,47.24,3,15.75,2.62,13,9,L
1441,QB,"Carr, Derek",oak,den,A,5800,-1000,47.1,3,15.7,2.71,7.22,10,L
5444,RB,"Elliott, Ezekiel",dal,lar,H,8200,-100,46.6,3,15.53,1.89,18.4,6,L
5456,WR,"Shepard, Sterling",nyg,tam,A,5000,300,46.3,3,15.43,3.09,29.3,8,H
7011,D,Detroit,det,min,A,2700,300,46,3,15.33,5.68,13,7,H
4262,TE,"Witten, Jason",dal,lar,H,5000,500,45.9,3,15.3,3.06,1.3,6,H
5089,WR,"Jones, Julio",atl,buf,H,8800,-500,45.5,3,15.17,1.72,16.1,5,L
1231,QB,"Rivers, Philip",lac,phi,H,6300,-100,45.4,3,15.13,2.4,6.48,9,L
5167,WR,"Hogan, Chris",ne,car,H,6000,-100,45.1,3,15.03,2.51,22.8,9,L
5459,WR,"Thomas, Michael",no,mia,A,7300,300,45.1,3,15.03,2.06,21.7,5,H
5536,RB,"McCaffrey, Christian",car,ne,A,6800,700,44.6,3,14.87,2.19,23.7,11,H
3983,WR,"Sanders, Emmanuel",den,oak,H,6100,300,44.3,3,14.77,2.42,14.5,5,H
3751,WR,"Nelson, Jordy",gb,chi,H,7700,-100,44.1,2,22.05,2.86,23.2,8,L
3754,WR,"Garcon, Pierre",sfo,ari,A,5500,200,43.9,3,14.63,2.66,24.2,11,H
1175,QB,"McCown, Josh",nyj,jac,H,4500,0,42.88,3,14.29,3.18,14.66,11,
2888,RB,"Bell, Le'Veon",pit,bal,A,8700,-100,42.6,3,14.2,1.63,21.8,9,L
5186,WR,"Kearse, Jermaine",nyj,jac,H,4600,0,42.5,3,14.17,3.08,7.2,11,
