GID,Pos,Name,Team,Opponent,Home/Away,Salary,Salary Change,Points,GP,Pts/Game,Pts/G/$,Pts/G(alt),Bye week,YTD Salary H/L
3809,WR,"Wallace, Mike",bal,pit,H,3500,-200,3.5,2,1.75,0.5,2,10,L
3824,WR,"Britt, Kenny",cle,cin,H,4300,200,3.5,2,1.75,0.41,14.4,9,H
4679,TE,"Anderson, Stephen",hou,ten,H,2800,-100,3.4,1,3.4,1.21,2.4,7,L
1433,QB,"Tolzien, Scott",ind,sea,A,4300,0,3.32,1,3.32,0.77,0,11,
5570,WR,"Cole, Keelan",jac,nyj,A,3000,0,3.3,2,1.65,0.55,2.3,8,
4661,TE,"O'Leary, Nick",buf,atl,A,2500,0,3.2,1,3.2,1.28,4.1,6,
5450,RB,"Collins, Alex",bal,pit,H,3700,200,3.2,1,3.2,0.86,8.2,10,H
5483,RB,"Washington, Dwayne",det,min,A,3800,0,3.1,2,1.55,0.41,0,7,
4590,TE,"Williams, Brandon",ind,sea,A,2500,0,3,1,3,1.2,1.7,11,
5473,RB,"Smallwood, Wendell",phi,lac,A,4100,300,3,2,1.5,0.37,9,10,H
5476,WR,"Miller, Braxton",hou,ten,H,3000,-100,3,2,1.5,0.5,2.5,7,L
4685,TE,"Telfer, Randall",cle,cin,H,2500,0,3,1,3,1.2,1.4,9,
5541,RB,"Williams, Jamaal",gb,chi,H,4400,0,3,2,1.5,0.34,0.6,8,
5551,WR,"Stewart, ArDarius",nyj,jac,H,3000,-100,3,1,3,1,3.4,11,L
7018,D,New England,ne,car,H,3400,-400,3,2,1.5,0.44,6,9,L
5387,WR,"Hardy, Justin",atl,buf,H,3000,0,2.9,1,2.9,0.97,0,5,
4664,TE,"O'Shaughnessy, James",jac,nyj,A,2500,0,2.8,1,2.8,1.12,2.2,8,
5258,WR,"Robinson, Allen",jac,nyj,A,0,0,2.7,1,2.7,0,0,8,
5556,WR,"Samuel, Curtis",car,ne,A,4000,800,2.7,1,2.7,0.68,5.6,11,H
4700,TE,"Howard, O.J.",tam,nyg,H,2700,0,2.7,1,2.7,1,2.2,1,
4605,TE,"Niklas, Troy",ari,sfo,H,2500,0,2.6,2,1.3,0.52,2,8,
5377,WR,"White, Kevin",chi,gb,A,0,0,2.6,1,2.6,0,0,9,
5572,WR,"Darboh, Amara",sea,ind,H,3000,0,2.6,2,1.3,0.43,0,6,
5580,WR,"Williams, Chad",ari,sfo,H,3000,0,2.5,1,2.5,0.83,1.8,8,
4323,TE,"Davis, Vernon",was,kan,A,3700,700,2.3,2,1.15,0.31,16.8,5,H
3885,WR,"Benn, Arrelious",jac,nyj,A,3000,0,2.2,1,2.2,0.73,0,8,
4363,TE,"Celek, Brent",phi,lac,A,2500,0,2.1,1,2.1,0.84,0,10,
5157,WR,"Quick, Brian",was,kan,A,3000,0,2.1,1,2.1,0.7,0,5,
5455,WR,"Boyd, Tyler",cin,cle,A,3300,0,2.1,1,2.1,0.64,2.1,6,
4588,TE,"McGrath, Sean",lac,phi,H,2500,0,2,1,2,0.8,0,9,
4618,TE,"Burton, Trey",phi,lac,A,2500,0,2,1,2,0.8,2.7,10,
4688,TE,"Vannett, Nick",sea,ind,H,2500,0,2,1,2,0.8,0,6,
5537,RB,"Conner, James",pit,bal,A,4500,0,2,2,1,0.22,0,9,
7016,D,Miami,mia,no,H,2400,-1300,2,1,2,0.83,5,1,L
4535,TE,"Smith, Lee",oak,den,A,2500,0,1.9,1,1.9,0.76,0,10,
2931,RB,"Sims, Charles",tam,nyg,H,3900,0,1.9,1,1.9,0.49,2.3,1,
5498,WR,"Davis, Trevor",gb,chi,H,3000,0,1.9,2,0.95,0.32,0,8,
2959,RB,"Fluellen, David",ten,hou,A,3000,0,1.8,1,1.8,0.6,0,8,
4684,TE,"Sterling, Neal",nyj,jac,H,2500,0,1.8,1,1.8,0.72,0,11,
5134,WR,"Robinson, Aldrick",sfo,ari,A,3000,0,1.7,1,1.7,0.57,4.3,11,
4651,TE,"Walford, Clive",oak,den,A,2500,0,1.7,1,1.7,0.68,0.9,10,
2825,RB,"Develin, James",ne,car,H,3000,0,1.6,1,1.6,0.53,0,9,
4564,TE,"Celek, Garrett",sfo,ari,A,2500,0,1.6,1,1.6,0.64,7.1,11,
4682,TE,"Cross, Alan",tam,nyg,H,2500,0,1.6,1,1.6,0.64,1.5,1,
2805,RB,"DiMarco, Patrick",buf,atl,A,3000,0,1.5,2,0.75,0.25,0,6,
4652,TE,"Kroft, Tyler",cin,cle,A,2600,100,1.5,1,1.5,0.58,5.8,6,H
5379,WR,"Perriman, Breshad",bal,pit,H,3000,0,1.5,2,0.75,0.25,0,10,
4707,TE,"Hollister, Jacob",ne,car,H,2500,0,1.5,1,1.5,0.6,2.9,9,
4609,TE,"Fells, Darren",det,min,A,2500,0,1.3,1,1.3,0.52,1.8,7,
5405,RB,"Grant, Corey",jac,nyj,A,3700,700,1.3,1,1.3,0.35,10.3,8,H
5506,WR,"Peake, Charone",nyj,jac,H,3000,0,1.3,1,1.3,0.43,0,11,
2899,RB,"Murray, Latavius",min,det,H,3200,0,1.2,2,0.6,0.19,0.5,9,
2958,WR,"Thomas, De'Anthony",kan,was,H,3000,0,1.2,2,0.6,0.2,2.4,10,
5406,RB,"Ripkowski, Aaron",gb,chi,H,3000,0,1.2,1,1.2,0.4,0,8,
5334,WR,"Hazel, Matt",ind,sea,A,0,0,1.1,1,1.1,0,0,11,
3191,RB,"Smith, Rod",dal,lar,H,3300,0,0.8,1,0.8,0.24,0,6,
5277,WR,"Campanaro, Michael",bal,pit,H,3000,-100,0.7,2,0.35,0.12,2,10,L
5415,RB,"Burton, Michael",chi,gb,A,3000,0,0.7,1,0.7,0.23,0,9,
1443,QB,"Savage, Tom",hou,ten,H,4400,0,0.48,1,0.48,0.11,0,7,
5402,RB,"Rawls, Thomas",sea,ind,H,3700,-300,0.4,1,0.4,0.11,0,6,L
2896,RB,"Lacy, Eddie",sea,ind,H,3400,0,0.3,1,0.3,0.09,0,6,
2549,RB,"Kuhn, John",no,mia,A,0,-3000,0.2,1,0.2,0,0,5,L
5558,WR,"Ross, John",cin,cle,A,3300,0,0.2,1,0.2,0.06,0,6,
